,sim_id,policy,time,RT,WT
0,2,optimization,2,2.301455261485286,0
1,2,optimization,8,9.520182638150544,0
2,2,optimization,10,1.2928055334009287,0
3,2,optimization,13,15.119488796617675,0
4,2,optimization,18,3.080925802516947,0
5,2,optimization,25,1.781678586666723,0
6,2,optimization,32,8.791635567055847,0
7,2,optimization,56,10.499966685724653,0
8,2,optimization,57,1.781678586666723,0
9,8,optimization,11,7.221241043653125,0
10,8,optimization,19,0.0,0
11,8,optimization,28,8.89881306104288,0
12,8,optimization,33,12.513095544450096,0
13,8,optimization,39,14.506887972497477,0
14,8,optimization,46,8.006100213902286,0
15,8,optimization,51,5.434725761071649,0
16,8,optimization,52,10.735239081101696,0
17,17,optimization,0,0.520004633428652,0
18,17,optimization,7,4.07285813082155,0
19,17,optimization,13,11.597545689124154,0
20,17,optimization,14,11.894299957607037,0
21,17,optimization,21,9.035735957576057,0
22,17,optimization,22,14.112811708027126,0
23,17,optimization,30,7.554393652102205,0
24,17,optimization,35,16.575630622540867,0
25,17,optimization,43,18.741301853553658,7
26,17,optimization,45,14.032041418412597,0
27,17,optimization,47,14.384061619406319,0
28,17,optimization,55,13.90142247441429,4
29,17,optimization,58,26.630717635861426,10
30,11,optimization,6,4.483814675874006,0
31,11,optimization,9,8.569531587825066,0
32,11,optimization,15,1.9332897394279493,0
33,11,optimization,31,14.94572314663413,0
34,11,optimization,42,9.450332574582387,0
35,11,optimization,46,4.577014374586639,0
36,11,optimization,48,10.123789497014277,0
37,11,optimization,49,18.608261674553564,0
38,15,optimization,7,1.2928055334009287,0
39,15,optimization,8,15.796783825670044,0
40,15,optimization,18,0.520004633428652,0
41,15,optimization,21,12.432127057845083,0
42,15,optimization,39,0.520004633428652,0
43,15,optimization,40,1.2928055334009287,0
44,15,optimization,40,4.134837225778761,0
45,15,optimization,43,3.881989176165351,0
46,15,optimization,54,1.781678586666723,0
47,15,optimization,56,9.035735957576057,0
48,10,optimization,4,5.356298730193788,0
49,10,optimization,6,6.79896748253808,0
50,10,optimization,24,14.38314103454315,0
51,10,optimization,25,24.4915613443066,0
52,10,optimization,25,19.237642266290706,0
53,10,optimization,25,3.080925802516947,0
54,10,optimization,29,9.450536976874755,2
55,10,optimization,37,12.746583032265754,0
56,10,optimization,42,24.788422485222213,0
57,10,optimization,54,7.002516309675034,0
58,10,optimization,56,19.475432545760402,1
59,1,optimization,4,9.905060900053233,0
60,1,optimization,12,6.79896748253808,0
61,1,optimization,12,3.881989176165351,0
62,1,optimization,14,15.197092478502558,0
63,1,optimization,19,0.0,0
64,1,optimization,20,18.157785679971074,0
65,1,optimization,29,11.852014823573636,3
66,1,optimization,38,16.779851390785463,10
67,1,optimization,40,22.136336696928044,16
68,1,optimization,42,19.720515903240265,9
69,1,optimization,58,14.278506075460411,11
70,9,optimization,0,6.3340759890672285,0
71,9,optimization,1,4.64858705475392,0
72,9,optimization,4,7.295720275915071,0
73,9,optimization,4,12.56912403033396,0
74,9,optimization,5,14.78652253255461,0
75,9,optimization,5,23.21046900564304,0
76,9,optimization,23,6.698825121440253,1
77,9,optimization,26,9.546862904310261,1
78,9,optimization,30,18.97236861352599,15
79,9,optimization,31,17.627970821715074,1
80,9,optimization,41,38.67411117093765,21
81,9,optimization,46,55.82369982250986,37
82,9,optimization,54,15.63012704841021,0
83,14,optimization,4,4.217805074391935,0
84,14,optimization,8,2.16019272234554,0
85,14,optimization,8,6.087046288772748,0
86,14,optimization,16,10.096007083927951,0
87,14,optimization,22,10.120412115228431,0
88,14,optimization,27,8.133758081618698,0
89,14,optimization,34,9.035735957576057,0
90,14,optimization,38,3.881989176165351,0
