,sim_id,policy,time,RT,WT
0,2,greedy,2,2.301455261485286,0
1,2,greedy,8,9.520182638150544,0
2,2,greedy,10,1.2928055334009287,0
3,2,greedy,13,15.119488796617675,0
4,2,greedy,18,3.080925802516947,0
5,2,greedy,25,1.781678586666723,0
6,2,greedy,32,8.791635567055847,0
7,2,greedy,56,10.499966685724653,0
8,2,greedy,57,1.781678586666723,0
9,8,greedy,11,7.221241043653125,0
10,8,greedy,19,0.0,0
11,8,greedy,28,8.89881306104288,0
12,8,greedy,33,12.513095544450096,0
13,8,greedy,39,14.506887972497477,0
14,8,greedy,46,8.006100213902286,0
15,8,greedy,51,5.434725761071649,0
16,8,greedy,52,10.735239081101696,0
17,17,greedy,0,0.520004633428652,0
18,17,greedy,7,4.07285813082155,0
19,17,greedy,13,11.597545689124154,0
20,17,greedy,14,11.894299957607037,0
21,17,greedy,21,9.035735957576057,0
22,17,greedy,22,14.112811708027126,0
23,17,greedy,30,7.554393652102205,0
24,17,greedy,35,16.575630622540867,0
25,17,greedy,44,19.741301853553658,8
26,17,greedy,47,16.032041418412597,2
27,17,greedy,48,15.384061619406319,1
28,17,greedy,56,23.275592196339055,8
29,17,greedy,58,15.96033385667015,7
30,11,greedy,6,4.483814675874006,0
31,11,greedy,9,8.569531587825066,0
32,11,greedy,15,1.9332897394279493,0
33,11,greedy,31,14.94572314663413,0
34,11,greedy,42,9.450332574582387,0
35,11,greedy,46,4.577014374586639,0
36,11,greedy,48,10.123789497014277,0
37,11,greedy,49,18.608261674553564,0
38,15,greedy,7,1.2928055334009287,0
39,15,greedy,8,15.796783825670044,0
40,15,greedy,18,0.520004633428652,0
41,15,greedy,21,12.432127057845083,0
42,15,greedy,39,0.520004633428652,0
43,15,greedy,40,1.2928055334009287,0
44,15,greedy,40,4.134837225778761,0
45,15,greedy,43,3.881989176165351,0
46,15,greedy,54,1.781678586666723,0
47,15,greedy,56,9.035735957576057,0
48,10,greedy,4,5.356298730193788,0
49,10,greedy,6,6.79896748253808,0
50,10,greedy,24,14.38314103454315,0
51,10,greedy,25,16.16507242111245,0
52,10,greedy,25,12.56912403033396,0
53,10,greedy,25,28.75150868993628,0
54,10,greedy,30,10.450536976874755,3
55,10,greedy,37,12.746583032265754,0
56,10,greedy,54,36.78842248522221,12
57,10,greedy,54,22.77894083170334,7
58,1,greedy,4,9.905060900053233,0
59,1,greedy,12,3.881989176165351,0
60,1,greedy,12,6.79896748253808,0
61,1,greedy,14,15.197092478502558,0
62,1,greedy,19,0.0,0
63,1,greedy,20,18.157785679971074,0
64,1,greedy,29,21.10107861147233,5
65,1,greedy,36,19.742172551367545,11
66,1,greedy,39,25.20332678833809,13
67,1,greedy,39,20.466771827449985,13
68,9,greedy,0,6.3340759890672285,0
69,9,greedy,1,4.64858705475392,0
70,9,greedy,4,7.295720275915071,0
71,9,greedy,4,12.56912403033396,0
72,9,greedy,5,23.21046900564304,0
73,9,greedy,5,14.78652253255461,0
74,9,greedy,20,27.847739927944115,11
75,9,greedy,27,23.706435257885367,12
76,9,greedy,28,15.70936925639337,8
77,9,greedy,36,22.658556529931825,14
78,9,greedy,40,23.54686290431026,15
79,9,greedy,52,41.60969055573844,22
80,9,greedy,54,16.300894196910118,0
81,14,greedy,4,4.217805074391935,0
82,14,greedy,8,6.087046288772748,0
83,14,greedy,8,2.16019272234554,0
84,14,greedy,16,10.096007083927951,0
85,14,greedy,22,10.120412115228431,0
86,14,greedy,27,8.490457639995741,0
87,14,greedy,34,5.526350351486993,0
88,14,greedy,38,3.881989176165351,0
89,14,greedy,44,16.042384505842886,0
90,14,greedy,49,20.614076021109117,2
91,14,greedy,54,20.830241714373912,3
92,14,greedy,58,0.0,0
93,3,greedy,5,6.2349140181587615,0
94,3,greedy,8,4.793559294209459,0
95,3,greedy,12,7.295720275915071,0
96,3,greedy,14,10.008202861245666,0
97,3,greedy,18,8.89881306104288,0
98,3,greedy,22,17.566392485075557,0
99,3,greedy,31,7.814491880397674,0
100,3,greedy,32,17.578915486109295,0
101,3,greedy,33,14.022783548694933,0
102,3,greedy,37,4.933289739427949,3
103,3,greedy,59,35.71615785629607,18
104,16,greedy,7,4.134837225778761,0
105,16,greedy,11,0.0,0
106,16,greedy,14,3.881989176165351,0
107,16,greedy,14,5.8394473290658,0
108,16,greedy,16,3.080925802516947,0
109,16,greedy,18,22.399501148552364,0
110,16,greedy,33,24.576408378468887,0
111,16,greedy,36,10.276930286842623,0
112,16,greedy,39,12.181959125845548,0
113,16,greedy,44,7.192605891515118,0
114,16,greedy,45,10.106548650283333,0
115,7,greedy,10,13.49266088587601,0
116,7,greedy,15,5.44042708289931,0
117,7,greedy,20,12.61337764961242,0
118,7,greedy,35,9.838322046326725,0
119,7,greedy,37,6.81513608911198,0
120,7,greedy,39,4.1703022790450754,0
121,7,greedy,43,10.557135947479447,0
122,7,greedy,47,23.549025426548575,3
123,7,greedy,55,40.43673303597596,9
124,7,greedy,58,28.956891500988736,11
125,6,greedy,4,12.339557771142331,0
126,6,greedy,8,11.532249734897588,0
127,6,greedy,17,12.926787873481267,0
128,6,greedy,19,16.09476758577826,0
129,6,greedy,20,21.566878946474883,0
130,6,greedy,26,10.313227618802959,0
131,6,greedy,33,23.17734993016987,4
132,6,greedy,48,29.020963332142273,19
133,6,greedy,51,38.25636873189402,22
134,6,greedy,58,42.819983446294415,27
135,18,greedy,3,3.6015793659291964,0
136,18,greedy,6,18.443079782192296,0
137,18,greedy,10,6.624319424204487,0
138,18,greedy,12,11.157143147294,0
139,18,greedy,17,11.717470526252646,0
140,18,greedy,21,18.327851864317413,0
141,18,greedy,30,18.0422909601613,7
142,18,greedy,43,29.159401679007853,20
143,18,greedy,53,38.41097821557361,30
144,18,greedy,55,40.406899531750206,31
145,18,greedy,55,41.51614092143771,30
146,18,greedy,56,45.738193693699564,30
147,5,greedy,6,0.0,0
148,5,greedy,12,14.40116200740301,0
149,5,greedy,14,10.760728603102468,0
150,5,greedy,20,6.79896748253808,0
151,5,greedy,22,8.546862904310261,0
152,5,greedy,24,5.8394473290658,0
153,5,greedy,26,20.309496983428335,0
154,5,greedy,43,33.32748934595385,14
155,5,greedy,46,22.370814983570522,9
156,5,greedy,48,19.91887228136344,11
157,5,greedy,48,29.268615616312424,9
158,5,greedy,51,17.963627635475095,8
159,0,greedy,1,1.2928055334009287,0
160,0,greedy,7,3.080925802516947,0
161,0,greedy,8,12.56912403033396,0
162,0,greedy,8,15.81256637599367,0
163,0,greedy,8,10.557135947479447,0
164,0,greedy,10,17.919738749555872,0
165,0,greedy,15,14.838322046326725,5
166,0,greedy,25,23.717470526252647,12
167,0,greedy,33,25.21853058220507,8
168,0,greedy,38,20.672691747853918,13
169,0,greedy,40,27.400861596989042,10
170,0,greedy,40,10.453070598645954,9
171,0,greedy,46,32.34816973546074,14
172,0,greedy,54,29.03573595757606,20
173,19,greedy,1,9.973234679106726,0
174,19,greedy,2,0.0,0
175,19,greedy,3,8.062476683013458,0
176,19,greedy,3,5.063936721742739,0
177,19,greedy,7,12.90099600677784,0
178,19,greedy,9,18.48532433705876,0
179,19,greedy,12,8.546862904310261,0
180,19,greedy,23,18.422768070086832,10
181,19,greedy,33,15.781678586666724,14
182,19,greedy,34,5.472368780550418,2
183,19,greedy,34,4.726986561920903,2
184,19,greedy,38,8.640518121212393,0
185,19,greedy,48,14.035078415602326,0
186,19,greedy,52,17.658932893560834,0
187,19,greedy,54,17.363556703201404,0
188,13,greedy,2,3.187419060894851,0
189,13,greedy,6,15.560730080512378,0
190,13,greedy,10,12.691583226104362,0
191,13,greedy,13,1.2928055334009287,0
192,13,greedy,16,17.300260454826276,0
193,13,greedy,17,11.786775812845248,0
194,13,greedy,26,19.35557010268769,9
195,13,greedy,29,15.768851539514962,3
196,13,greedy,41,25.042384505842886,9
197,13,greedy,48,46.43673303597596,15
198,13,greedy,51,35.17111477738383,16
199,13,greedy,58,40.34406980719982,22
200,12,greedy,11,12.205300071152863,0
201,12,greedy,12,16.473177968550512,0
202,12,greedy,19,1.4659065209420958,0
203,12,greedy,19,6.5142370015237,0
204,12,greedy,20,33.766474007351945,0
205,12,greedy,22,18.48532433705876,0
206,12,greedy,38,32.493924828459825,14
207,12,greedy,41,25.90073468071239,16
208,12,greedy,48,41.549025426548575,21
209,12,greedy,54,39.15895359664566,27
210,12,greedy,57,44.82315767995992,27
211,24,greedy,11,3.080925802516947,0
212,24,greedy,15,12.926787873481267,0
213,24,greedy,18,3.881989176165351,0
214,24,greedy,20,12.10488196085717,0
215,24,greedy,22,9.838322046326725,0
216,24,greedy,23,13.526504835430275,0
217,24,greedy,30,14.717470526252646,3
218,24,greedy,45,26.03573595757606,17
219,24,greedy,56,2.264375247383296,0
220,20,greedy,7,0.520004633428652,0
221,20,greedy,9,3.881989176165351,0
222,20,greedy,9,6.1578388949537395,0
223,20,greedy,12,7.829875341380447,0
224,20,greedy,15,11.20707689565644,0
225,20,greedy,17,16.261415863119307,0
226,20,greedy,19,11.474927238782847,1
227,20,greedy,32,15.850816185815964,5
228,20,greedy,38,19.720515903240265,9
229,20,greedy,48,37.998619012817315,19
230,20,greedy,52,27.333568129454996,17
231,20,greedy,57,30.43340286719684,20
232,22,greedy,4,5.119611325782378,0
233,22,greedy,12,0.0,0
234,22,greedy,13,3.080925802516947,0
235,22,greedy,15,14.682674593444565,0
236,22,greedy,20,7.829875341380447,0
237,22,greedy,20,20.746681016115918,0
238,22,greedy,21,7.113629176539692,0
239,22,greedy,29,15.5536265371493,0
240,22,greedy,33,0.520004633428652,0
241,22,greedy,45,31.601748745753998,12
242,22,greedy,45,21.717470526252647,10
243,22,greedy,53,19.47236878055042,16
244,4,greedy,2,1.2928055334009287,0
245,4,greedy,4,14.244677136810212,0
246,4,greedy,5,6.310573377533836,0
247,4,greedy,6,13.590912582944629,0
248,4,greedy,7,13.979562956253202,0
249,4,greedy,8,14.682674593444565,0
250,4,greedy,16,8.79896748253808,2
251,4,greedy,25,19.935411908646614,10
252,4,greedy,33,38.39764989992294,16
253,4,greedy,39,29.35557010268769,19
254,4,greedy,41,31.384061619406317,17
255,4,greedy,44,19.36282075894251,13
256,4,greedy,52,37.682241724118036,19
257,4,greedy,58,33.72051590324027,23
258,25,greedy,6,14.38314103454315,0
259,25,greedy,7,5.299707223039025,0
260,25,greedy,8,3.5255642495780304,0
261,25,greedy,10,8.759160353313595,0
262,25,greedy,21,17.233036669722953,0
263,25,greedy,24,9.940494727375214,0
264,25,greedy,27,14.098435176788085,0
265,25,greedy,33,14.935411908646614,5
266,25,greedy,34,14.333568129454997,4
267,25,greedy,42,29.682241724118036,11
268,25,greedy,58,35.313227618802955,25
269,26,greedy,3,4.7998598607551,0
270,26,greedy,9,3.881989176165351,0
271,26,greedy,12,14.40116200740301,0
272,26,greedy,12,13.558454675328964,0
273,26,greedy,17,18.608261674553564,0
274,26,greedy,19,13.874815017405314,0
275,26,greedy,27,26.817193311771693,0
276,26,greedy,37,20.00463424171368,3
277,26,greedy,49,31.050790376719437,13
278,26,greedy,50,30.549025426548575,10
279,26,greedy,54,29.562389139271538,13
280,21,greedy,1,0.520004633428652,0
281,21,greedy,2,3.881989176165351,0
282,21,greedy,3,7.091837287759015,0
283,21,greedy,8,11.824472150621016,0
284,21,greedy,9,1.2928055334009287,0
285,21,greedy,15,3.8907241543724287,0
286,21,greedy,15,12.427503193543853,0
287,21,greedy,22,31.735482252473307,5
288,21,greedy,28,7.385309448357469,3
289,21,greedy,33,18.9764303153995,0
290,21,greedy,42,13.693533747472575,6
291,21,greedy,44,3.520004633428652,3
292,21,greedy,47,13.584632920224134,5
293,21,greedy,48,15.313246896390497,2
294,21,greedy,56,20.437060716016493,9
295,27,greedy,0,9.520182638150544,0
296,27,greedy,1,9.927110346532876,0
297,27,greedy,3,8.23347992609882,0
298,27,greedy,3,17.58053596294958,0
